TransactionID,TransactionDate,CustomerID,ProductID,SalesChannel,ProductCategory,ProductName,DiscountRate,UnitPrice,UnitCost,Quantity,SalesAmount,CostAmount,Profit
200000,2025-12-20,C00618,P017,In‑Store,Accessories,Wireless Mouse,0.05,38.0,18.0,2,76.0,36.0,40.0
200001,2025-08-23,C00040,P026,Online,Gaming,Controller,0.1,72.0,45.0,2,144.0,90.0,54.0
200002,2025-04-10,C00769,P012,In‑Store,TVs,4K OLED TV 55,0.0,1600.0,1200.0,2,3200.0,2400.0,800.0
200003,2025-01-02,C00260,P026,In‑Store,Gaming,Controller,0.0,80.0,45.0,1,80.0,45.0,35.0
200004,2025-07-01,C00970,P003,Online,Computers,Gaming Desktop,0.0,2200.0,1650.0,1,2200.0,1650.0,550.0
200005,2025-03-06,C00033,P001,In‑Store,Computers,Laptop Pro 14,0.05,1710.0,1350.0,1,1710.0,1350.0,360.0
200006,2025-09-06,C00310,P017,Online,Accessories,Wireless Mouse,0.0,40.0,18.0,1,40.0,18.0,22.0
200007,2025-09-20,C00456,P021,In‑Store,Accessories,Phone Case,0.1,31.5,12.0,1,31.5,12.0,19.5
200008,2025-02-09,C00167,P003,Online,Computers,Gaming Desktop,0.1,1980.0,1650.0,1,1980.0,1650.0,330.0
200009,2025-11-12,C01133,P007,In‑Store,Phones,Smartphone Ultra,0.1,1305.0,980.0,1,1305.0,980.0,325.0
200010,2025-11-19,C01061,P003,Online,Computers,Gaming Desktop,0.15,1870.0,1650.0,1,1870.0,1650.0,220.0
200011,2025-11-17,C00281,P010,Online,TVs,4K LED TV 55,0.15,765.0,650.0,1,765.0,650.0,115.0
200012,2025-03-23,C00854,P015,Online,Audio,Bluetooth Speaker,0.05,171.0,110.0,1,171.0,110.0,61.0
200013,2025-03-22,C00516,P019,Online,Accessories,USB-C Hub,0.05,52.25,28.0,4,209.0,112.0,97.0
200014,2025-05-17,C00494,P011,Online,TVs,4K LED TV 65,0.05,1235.0,950.0,1,1235.0,950.0,285.0
200015,2025-07-20,C00097,P019,In‑Store,Accessories,USB-C Hub,0.05,52.25,28.0,1,52.25,28.0,24.25
200016,2025-12-29,C00200,P018,Online,Accessories,Mechanical Keyboard,0.15,127.5,85.0,1,127.5,85.0,42.5
200017,2025-06-27,C00837,P010,In‑Store,TVs,4K LED TV 55,0.15,765.0,650.0,1,765.0,650.0,115.0
200018,2025-04-02,C00120,P004,In‑Store,Computers,2-in-1 Convertible 13,0.0,1250.0,950.0,1,1250.0,950.0,300.0
200019,2025-12-20,C00206,P014,In‑Store,Audio,Noise Cancelling Headphones,0.05,332.5,220.0,1,332.5,220.0,112.5
200020,2025-10-26,C00132,P019,Online,Accessories,USB-C Hub,0.15,46.75,28.0,2,93.5,56.0,37.5
200021,2025-07-26,C00441,P019,Online,Accessories,USB-C Hub,0.0,55.0,28.0,1,55.0,28.0,27.0
200022,2025-11-25,C00569,P022,In‑Store,Accessories,HDMI Cable,0.0,25.0,8.0,3,75.0,24.0,51.0
200023,2025-11-05,C01018,P010,Online,TVs,4K LED TV 55,0.1,810.0,650.0,1,810.0,650.0,160.0
200024,2025-12-25,C00383,P019,In‑Store,Accessories,USB-C Hub,0.0,55.0,28.0,4,220.0,112.0,108.0
200025,2025-04-28,C00896,P001,Online,Computers,Laptop Pro 14,0.05,1710.0,1350.0,1,1710.0,1350.0,360.0
200026,2025-03-10,C00577,P015,Online,Audio,Bluetooth Speaker,0.0,180.0,110.0,1,180.0,110.0,70.0
200027,2025-03-20,C01200,P011,In‑Store,TVs,4K LED TV 65,0.15,1105.0,950.0,1,1105.0,950.0,155.0
200028,2025-07-11,C00613,P018,In‑Store,Accessories,Mechanical Keyboard,0.0,150.0,85.0,2,300.0,170.0,130.0
200029,2025-12-01,C00563,P021,In‑Store,Accessories,Phone Case,0.1,31.5,12.0,1,31.5,12.0,19.5
