CheckInID,MemberID,ClassID,CheckInDate,DurationMinutes
CHK00001,MB0032,C03,2024-06-09,45
CHK00002,MB0716,C05,2024-08-01,75
CHK00003,MB0408,C01,2024-03-19,60
CHK00004,MB0339,C03,2024-07-21,60
CHK00005,MB0358,C01,2024-05-11,45
CHK00006,MB0597,C06,2024-08-22,30
CHK00007,MB0608,C03,2024-05-06,90
CHK00008,MB0792,C02,2024-06-11,45
CHK00009,MB0400,C07,2024-07-28,45
CHK00010,MB0302,C04,2024-01-14,30
CHK00011,MB0397,C03,2024-01-05,75
CHK00012,MB0198,C03,2024-02-13,45
CHK00013,MB0279,C07,2024-08-15,30
CHK00014,MB0300,C08,2024-10-06,60
CHK00015,MB0686,C05,2024-12-16,30
CHK00016,MB0764,C03,2024-10-03,45
CHK00017,MB0402,C02,2024-05-19,75
CHK00018,MB0194,C01,2024-03-29,45
CHK00019,MB0749,C06,2024-12-05,60
CHK00020,MB0385,C08,2024-09-29,75
CHK00021,MB0087,C02,2024-08-09,60
CHK00022,MB0668,C01,2024-08-30,90
CHK00023,MB0274,C03,2024-09-25,60
CHK00024,MB0086,C01,2024-01-16,75
CHK00025,MB0091,C02,2024-07-23,90
CHK00026,MB0657,C06,2024-03-09,30
CHK00027,MB0751,C03,2024-04-04,30
CHK00028,MB0271,C06,2024-12-21,90
CHK00029,MB0317,C02,2024-02-06,60
CHK00030,MB0512,C06,2024-05-08,60
CHK00031,MB0762,C06,2024-03-30,45
CHK00032,MB0679,C05,2024-11-25,45
CHK00033,MB0443,C01,2024-03-22,30
CHK00034,MB0513,C03,2024-03-22,90
CHK00035,MB0696,C06,2024-06-09,90
CHK00036,MB0161,C02,2024-02-27,60
CHK00037,MB0225,C01,2024-06-22,30
CHK00038,MB0040,C06,2024-04-03,90
CHK00039,MB0012,C07,2024-11-09,75
CHK00040,MB0524,C06,2024-01-09,45
CHK00041,MB0209,C03,2024-07-30,90
CHK00042,MB0776,C08,2024-11-25,60
CHK00043,MB0072,C08,2024-06-08,75
CHK00044,MB0031,C05,2024-07-22,45
CHK00045,MB0366,C04,2024-05-11,45
CHK00046,MB0217,C01,2024-05-02,60
CHK00047,MB0518,C03,2024-07-27,45
CHK00048,MB0512,C01,2024-11-24,75
CHK00049,MB0106,C03,2024-08-23,60
CHK00050,MB0171,C01,2024-06-09,90
CHK00051,MB0602,C04,2024-12-24,30
CHK00052,MB0330,C08,2024-08-02,75
CHK00053,MB0070,C06,2024-05-05,75
CHK00054,MB0598,C02,2024-12-27,90
CHK00055,MB0636,C04,2024-04-06,75
CHK00056,MB0261,C05,2024-11-04,60
CHK00057,MB0233,C02,2024-07-01,90
CHK00058,MB0766,C06,2024-10-10,90
CHK00059,MB0519,C02,2024-10-04,90
CHK00060,MB0746,C03,2024-11-30,30
CHK00061,MB0253,C05,2024-09-11,90
CHK00062,MB0108,C05,2024-06-06,30
CHK00063,MB0283,C07,2024-12-06,75
CHK00064,MB0012,C04,2024-10-01,75
CHK00065,MB0167,C06,2024-08-25,90
CHK00066,MB0094,C05,2024-12-08,45
CHK00067,MB0103,C02,2024-01-30,30
CHK00068,MB0344,C05,2024-06-06,45
CHK00069,MB0281,C07,2024-12-16,90
CHK00070,MB0780,C04,2024-11-01,60
CHK00071,MB0545,C02,2024-07-13,45
CHK00072,MB0394,C06,2024-04-27,90
CHK00073,MB0536,C04,2024-08-21,45
CHK00074,MB0455,C08,2024-01-14,60
CHK00075,MB0537,C08,2024-09-16,45
CHK00076,MB0038,C02,2024-09-21,90
CHK00077,MB0711,C05,2024-05-04,45
CHK00078,MB0607,C02,2024-07-26,75
CHK00079,MB0399,C07,2024-03-20,30
CHK00080,MB0196,C05,2024-01-02,30
CHK00081,MB0465,C03,2024-10-01,60
CHK00082,MB0325,C02,2024-02-08,75
CHK00083,MB0746,C05,2024-05-13,30
CHK00084,MB0302,C02,2024-07-29,30
CHK00085,MB0178,C05,2024-06-13,75
CHK00086,MB0699,C02,2024-11-25,75
CHK00087,MB0587,C02,2024-12-18,90
CHK00088,MB0350,C06,2024-08-06,75
CHK00089,MB0211,C06,2024-12-06,75
CHK00090,MB0598,C08,2024-03-18,75
