Year,ServiceType,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2024,Potholes,218,241,276,303,247,198,182,179,186,201,211,220
2024,Graffiti,78,83,91,96,88,85,82,80,79,86,90,92
2024,Garbage Collection,348,341,356,366,379,388,395,390,377,366,354,350
2024,Streetlight Outage,97,101,105,109,102,100,97,95,96,101,103,104
2024,Water Leak,63,66,69,71,67,65,64,62,61,64,66,68
2024,Snow Removal,302,258,120,31,16,12,11,9,17,37,142,318
2024,Park Maintenance,62,65,74,84,99,109,116,111,96,78,66,63
2024,Sidewalk Damage,51,55,58,61,59,56,55,53,52,54,56,57
2024,Illegal Dumping,44,46,49,52,48,47,45,43,44,46,47,48
2024,Traffic Signal Issue,63,66,69,72,68,66,65,63,64,66,68,69
2024,Tree Trimming,52,54,63,72,77,87,92,89,77,63,55,52
2024,Noise Complaint,68,72,75,79,74,73,70,69,68,71,73,74
2025,Potholes,236,261,301,332,267,214,197,194,201,219,231,241
2025,Graffiti,84,90,98,104,96,92,90,87,85,91,96,99
2025,Garbage Collection,376,369,385,397,411,422,430,424,410,397,383,378
2025,Streetlight Outage,105,110,114,118,111,108,105,103,104,109,111,113
2025,Water Leak,68,72,75,78,73,71,69,68,67,70,72,74
2025,Snow Removal,326,279,130,34,17,13,12,10,18,40,153,344
2025,Park Maintenance,67,71,80,91,107,118,125,120,104,84,71,68
2025,Sidewalk Damage,55,59,63,66,64,61,59,57,56,58,60,62
2025,Illegal Dumping,48,50,54,56,52,51,49,47,48,50,51,52
2025,Traffic Signal Issue,68,71,75,78,74,72,70,69,70,72,74,75
2025,Tree Trimming,56,58,68,78,83,94,100,96,83,68,60,56
2025,Noise Complaint,73,77,81,86,80,79,76,75,74,78,80,82
