Source,Target,Passengers
YVR,YYZ,18500
YYZ,YVR,17800
YVR,YEG,9200
YEG,YVR,8900
YVR,YOW,5400
YOW,YVR,5200
YVR,YUL,6100
YUL,YVR,5900
YYZ,YOW,11200
YOW,YYZ,10800
YYZ,YUL,13200
YUL,YYZ,12800
YYZ,YEG,7500
YEG,YYZ,7200
YEG,YOW,3600
YOW,YEG,3400
YEG,YUL,3900
YUL,YEG,3700
YOW,YUL,4500
YUL,YOW,4300
YVR,YYZ,19200
YYZ,YVR,18100
YVR,YEG,9400
YEG,YVR,9050
YVR,YOW,5600
YOW,YVR,5350
YVR,YUL,6300
YUL,YVR,6050
YYZ,YOW,11800
YOW,YYZ,11100
YYZ,YUL,13800
YUL,YYZ,13400
YYZ,YEG,7700
YEG,YYZ,7400
YEG,YOW,3750
YOW,YEG,3550
YEG,YUL,4050
YUL,YEG,3850
YOW,YUL,4700
YUL,YOW,4500
