ProjectID,TaskID,ResourceID
PRJ001,T001,R001
PRJ001,T002,R001
PRJ001,T003,R001
PRJ001,T004,R001
PRJ001,T005,R001
PRJ001,T006,R001
PRJ001,T007,R001
PRJ001,T008,R001
PRJ001,T009,R001
PRJ001,T010,R001
PRJ001,T011,R001
PRJ001,T012,R001
PRJ001,T013,R001
PRJ001,T014,R001
PRJ001,T015,R001
PRJ001,T016,R006
PRJ001,T017,R006
PRJ001,T018,R008
PRJ001,T019,R006
PRJ001,T020,R005
PRJ001,T021,R005
PRJ001,T022,R005
PRJ001,T023,R007
PRJ001,T024,R007
PRJ001,T025,R007
PRJ001,T026,R002
PRJ001,T027,R003
PRJ001,T028,R004
PRJ001,T029,R001
PRJ001,T030,R008
PRJ001,T031,R001
PRJ001,T032,R001
PRJ001,T033,R001
PRJ001,T034,R001
PRJ001,T035,R001
PRJ001,T036,R001
PRJ001,T037,R001
PRJ001,T038,R002
PRJ001,T039,R003
PRJ001,T040,R004
PRJ001,T041,R001
PRJ001,T042,R001
PRJ001,T043,R001
PRJ001,T044,R001
PRJ001,T045,R001
PRJ001,T046,R001
PRJ001,T047,R001
PRJ001,T048,R001
