ProjectID,TaskID,PhaseID,Discipline,TaskName,BaselineStart,BaselineFinish,ActualStart,ActualFinish,PercentComplete,Status,Priority,PlannedDurationDays,ActualDurationDays,BudgetCostCAD,ActualCostCAD,PredecessorTaskID
PRJ001,T001,PH01,PM,Kickoff meeting & stakeholder alignment,2025-03-03,2025-03-06,2025-03-03,2025-03-04,100,Complete,Medium,3,1,5000,5245,
PRJ001,T002,PH01,Civil,Topographic survey & site assessment,2025-03-05,2025-03-10,2025-03-05,2025-03-12,100,Complete,Medium,5,7,17665,18507,
PRJ001,T003,PH01,Design,Concept design package,2025-03-07,2025-03-17,2025-03-06,2025-03-16,100,Complete,Medium,10,10,17011,17286,
PRJ001,T004,PH01,Design,Schematic design review,2025-03-12,2025-03-17,2025-03-15,2025-03-19,100,Complete,Medium,5,4,7016,7046,T003
PRJ001,T005,PH01,Design,Design development package,2025-03-14,2025-03-26,2025-03-12,2025-03-24,100,Complete,Medium,12,12,23308,23234,T004
PRJ001,T006,PH01,Design,Construction drawings (IFC),2025-03-20,2025-04-04,2025-03-17,2025-04-01,100,Complete,Medium,15,15,15616,17096,
PRJ001,T007,PH02,PM,Permit submission,2025-03-31,2025-04-02,2025-03-30,2025-04-01,100,Complete,Medium,2,2,5000,5073,
PRJ001,T008,PH02,PM,Permit review & revisions,2025-04-02,2025-04-16,2025-04-02,2025-04-14,100,Complete,Medium,14,12,8924,9080,
PRJ001,T009,PH02,Procurement,Tender package & bid period,2025-04-09,2025-04-23,2025-04-13,2025-04-27,100,Complete,Medium,14,14,5933,5846,T008
PRJ001,T010,PH02,Procurement,Award contracts,2025-04-16,2025-04-20,2025-04-17,2025-04-24,100,Complete,Medium,4,7,5000,5506,
PRJ001,T011,PH02,Procurement,"Long-lead procurement (steel, AHUs)",2025-04-18,2025-05-18,2025-04-17,2025-05-14,100,Complete,Medium,30,27,30148,30135,T010
PRJ001,T012,PH03,Site,Mobilization & site fencing,2025-05-04,2025-05-08,2025-05-04,2025-05-08,100,Complete,Medium,4,4,6265,5999,
PRJ001,T013,PH03,Civil,Erosion & sediment control,2025-05-06,2025-05-09,2025-05-06,2025-05-09,100,Complete,Medium,3,3,10032,9351,T012
PRJ001,T014,PH03,Site,Demolition & clearing,2025-05-08,2025-05-15,2025-05-09,2025-05-17,100,Complete,Medium,7,8,17380,18773,T013
PRJ001,T015,PH03,Civil,Excavation,2025-05-11,2025-05-21,2025-05-15,2025-05-22,100,Complete,Medium,10,7,30948,34651,T014
PRJ001,T016,PH03,Concrete,Footings,2025-05-16,2025-05-24,2025-05-16,2025-05-21,100,Complete,High,8,5,56799,64611,
PRJ001,T017,PH03,Concrete,Foundation walls,2025-05-20,2025-05-30,2025-05-18,2025-05-26,100,Complete,High,10,8,43815,39211,
PRJ001,T018,PH03,MEP,Underslab services,2025-05-25,2025-06-01,2025-05-25,2025-06-03,100,Complete,Medium,7,9,13741,15472,T017
PRJ001,T019,PH03,Concrete,Slab-on-grade pour,2025-05-28,2025-06-02,2025-05-28,2025-06-02,100,Complete,High,5,5,36770,36846,
