DateKey,Date,Year,Quarter,MonthNumber,MonthName,YearMonth
20240101,2024-01-01,2024,Q1,1,Jan,2024-01
20240201,2024-02-01,2024,Q1,2,Feb,2024-02
20240301,2024-03-01,2024,Q1,3,Mar,2024-03
20240401,2024-04-01,2024,Q2,4,Apr,2024-04
20240501,2024-05-01,2024,Q2,5,May,2024-05
20240601,2024-06-01,2024,Q2,6,Jun,2024-06
20240701,2024-07-01,2024,Q3,7,Jul,2024-07
20240801,2024-08-01,2024,Q3,8,Aug,2024-08
20240901,2024-09-01,2024,Q3,9,Sep,2024-09
20241001,2024-10-01,2024,Q4,10,Oct,2024-10
20241101,2024-11-01,2024,Q4,11,Nov,2024-11
20241201,2024-12-01,2024,Q4,12,Dec,2024-12
20250101,2025-01-01,2025,Q1,1,Jan,2025-01
20250201,2025-02-01,2025,Q1,2,Feb,2025-02
20250301,2025-03-01,2025,Q1,3,Mar,2025-03
20250401,2025-04-01,2025,Q2,4,Apr,2025-04
20250501,2025-05-01,2025,Q2,5,May,2025-05
20250601,2025-06-01,2025,Q2,6,Jun,2025-06
20250701,2025-07-01,2025,Q3,7,Jul,2025-07
20250801,2025-08-01,2025,Q3,8,Aug,2025-08
20250901,2025-09-01,2025,Q3,9,Sep,2025-09
20251001,2025-10-01,2025,Q4,10,Oct,2025-10
20251101,2025-11-01,2025,Q4,11,Nov,2025-11
20251201,2025-12-01,2025,Q4,12,Dec,2025-12
