DateKey,KPIID,ActualValue,TargetValue,Status,DepartmentID
20240101,KPI01,445.9,458.75,Red,FIN
20240101,KPI02,12.4,12.75,Yellow,FIN
20240101,KPI03,78.21,79.5,Yellow,CS
20240101,KPI04,84.5,85.25,Yellow,SAL
20240101,KPI05,87.61,89.12,Red,OPS
20240101,KPI06,9.38,9,Yellow,OPS
20240101,KPI07,68.31,70.12,Yellow,HR
20240101,KPI08,4.5,5,Yellow,HR
20240101,KPI09,36,40.62,Yellow,IT
20240101,KPI10,7.68,7.42,Yellow,OPS
20240101,KPI11,62.37,64.88,Yellow,CS
20240101,KPI12,180.18,187.5,Red,SAL
20240201,KPI01,454.722,461.666,Yellow,FIN
20240201,KPI02,12.35,13,Yellow,FIN
20240201,KPI03,77.56,80,Red,CS
20240201,KPI04,83.67,85.67,Red,SAL
20240201,KPI05,87.56,89.5,Red,OPS
20240201,KPI06,9.28,8.83,Yellow,OPS
20240201,KPI07,67.73,70.83,Red,HR
20240201,KPI08,4.82,5.33,Yellow,HR
20240201,KPI09,37.45,42.5,Yellow,IT
20240201,KPI10,7.69,7.3,Red,OPS
20240201,KPI11,61.94,65.83,Red,CS
20240201,KPI12,180.56,190,Red,SAL
20240301,KPI01,464.306,464.583,Yellow,FIN
20240301,KPI02,12.86,13.25,Yellow,FIN
20240301,KPI03,80.7,80.5,Green,CS
20240301,KPI04,85.04,86.08,Yellow,SAL
20240301,KPI05,89.1,89.88,Yellow,OPS
20240301,KPI06,8.98,8.67,Yellow,OPS
20240301,KPI07,69.84,71.54,Yellow,HR
20240301,KPI08,5.24,5.67,Yellow,HR
20240301,KPI09,39.9,44.38,Yellow,IT
20240301,KPI10,7.42,7.17,Yellow,OPS
20240301,KPI11,64.16,66.79,Yellow,CS
20240301,KPI12,187.8,192.5,Yellow,SAL
20240401,KPI01,473.768,467.5,Green,FIN
20240401,KPI02,13.07,13.5,Yellow,FIN
20240401,KPI03,80.05,81,Yellow,CS
20240401,KPI04,85.36,86.5,Yellow,SAL
20240401,KPI05,89.35,90.25,Yellow,OPS
20240401,KPI06,8.77,8.5,Yellow,OPS
20240401,KPI07,71.26,72.25,Yellow,HR
20240401,KPI08,5.36,6,Yellow,HR
20240401,KPI09,40.75,46.25,Red,IT
20240401,KPI10,7.23,7.05,Yellow,OPS
20240401,KPI11,65.74,67.75,Yellow,CS
20240401,KPI12,191.2,195,Yellow,SAL
20240501,KPI01,480.986,470.41667,Green,FIN
20240501,KPI02,13.35,13.75,Yellow,FIN
20240501,KPI03,81.4,81.5,Yellow,CS
20240501,KPI04,86.33,86.92,Yellow,SAL
20240501,KPI05,90.59,90.62,Yellow,OPS
20240501,KPI06,8.67,8.33,Yellow,OPS
20240501,KPI07,71.68,72.96,Yellow,HR
20240501,KPI08,5.53,6.33,Yellow,HR
20240501,KPI09,43.22,48.12,Yellow,IT
20240501,KPI10,7.17,6.92,Yellow,OPS
20240501,KPI11,66.97,68.71,Yellow,CS
20240501,KPI12,195.52,197.5,Yellow,SAL
20240601,KPI01,488.46,473.33333,Green,FIN
20240601,KPI02,13.67,14,Yellow,FIN
20240601,KPI03,82.56,82,Green,CS
20240601,KPI04,86.66,87.33,Yellow,SAL
20240601,KPI05,90.85,91,Yellow,OPS
20240601,KPI06,8.38,8.17,Yellow,OPS
20240601,KPI07,72.81,73.67,Yellow,HR
20240601,KPI08,5.6,6.67,Red,HR
20240601,KPI09,44.68,50,Yellow,IT
20240601,KPI10,6.98,6.8,Yellow,OPS
20240601,KPI11,67.56,69.67,Yellow,CS
20240601,KPI12,196.94,200,Yellow,SAL
20240701,KPI01,502.308,476.25,Green,FIN
20240701,KPI02,13.95,14.25,Yellow,FIN
20240701,KPI03,82.91,82.5,Green,CS
20240701,KPI04,86.88,87.75,Yellow,SAL
20240701,KPI05,91.1,91.38,Yellow,OPS
20240701,KPI06,8.27,8,Yellow,OPS
20240701,KPI07,73.24,74.38,Yellow,HR
20240701,KPI08,5.76,7,Red,HR
20240701,KPI09,46.15,51.88,Red,IT
20240701,KPI10,6.82,6.67,Yellow,OPS
20240701,KPI11,68.14,70.62,Yellow,CS
20240701,KPI12,203.33,202.5,Green,SAL
20240801,KPI01,500.13,479.166,Green,FIN
20240801,KPI02,14.03,14.5,Yellow,FIN
20240801,KPI03,82.26,83,Yellow,CS
20240801,KPI04,87,88.17,Yellow,SAL
20240801,KPI05,91.25,91.75,Yellow,OPS
20240801,KPI06,8.26,7.83,Yellow,OPS
20240801,KPI07,72.66,75.08,Red,HR
20240801,KPI08,5.98,7.33,Red,HR
20240801,KPI09,47.61,53.75,Red,IT
20240801,KPI10,6.83,6.55,Yellow,OPS
20240801,KPI11,68.73,71.58,Red,CS
20240801,KPI12,205.78,205,Green,SAL
20240901,KPI01,492.622,482.083,Green,FIN
20240901,KPI02,13.98,14.75,Red,FIN
20240901,KPI03,82.8,83.5,Yellow,CS
20240901,KPI04,86.36,88.58,Red,SAL
20240901,KPI05,90.7,92.12,Red,OPS
20240901,KPI06,8.14,7.67,Yellow,OPS
20240901,KPI07,73.36,75.79,Red,HR
20240901,KPI08,6.36,7.67,Red,HR
20240901,KPI09,48.6,55.62,Red,IT
20240901,KPI10,6.71,6.42,Yellow,OPS
20240901,KPI11,67.64,72.54,Red,CS
20240901,KPI12,205.21,207.5,Yellow,SAL
20241001,KPI01,490.504,485,Green,FIN
20241001,KPI02,14.26,15,Red,FIN
20241001,KPI03,82.15,84,Red,CS
20241001,KPI04,86.58,89,Red,SAL
20241001,KPI05,90.85,92.5,Red,OPS
20241001,KPI06,8.13,7.5,Red,OPS
20241001,KPI07,72.78,76.5,Red,HR
20241001,KPI08,6.64,8,Red,HR
20241001,KPI09,49.05,57.5,Red,IT
