Date,Ridership_Thousands
2018-01-01,820
2018-02-01,790
2018-03-01,840
2018-04-01,860
2018-05-01,880
2018-06-01,900
2018-07-01,920
2018-08-01,930
2018-09-01,910
2018-10-01,895
2018-11-01,880
2018-12-01,860
2019-01-01,835
2019-02-01,810
2019-03-01,860
2019-04-01,880
2019-05-01,900
2019-06-01,920
2019-07-01,940
2019-08-01,950
2019-09-01,930
2019-10-01,915
2019-11-01,900
2019-12-01,875
2020-01-01,850
2020-02-01,830
2020-03-01,500
2020-04-01,120
2020-05-01,150
2020-06-01,220
2020-07-01,260
2020-08-01,280
2020-09-01,300
2020-10-01,320
2020-11-01,340
2020-12-01,360
2021-01-01,380
2021-02-01,390
2021-03-01,420
2021-04-01,450
2021-05-01,480
2021-06-01,520
2021-07-01,550
2021-08-01,580
2021-09-01,600
2021-10-01,620
2021-11-01,640
2021-12-01,660
2022-01-01,680
2022-02-01,700
2022-03-01,720
2022-04-01,740
2022-05-01,760
2022-06-01,780
2022-07-01,800
2022-08-01,820
2022-09-01,840
2022-10-01,850
2022-11-01,860
2022-12-01,870
2023-01-01,880
2023-02-01,890
2023-03-01,900
2023-04-01,910
2023-05-01,920
2023-06-01,930
2023-07-01,940
2023-08-01,950
2023-09-01,960
2023-10-01,950
2023-11-01,940
2023-12-01,930
2024-01-01,920
2024-02-01,910
2024-03-01,930
2024-04-01,950
2024-05-01,970
2024-06-01,990
2024-07-01,1010
2024-08-01,1020
2024-09-01,1000
2024-10-01,980
2024-11-01,960
2024-12-01,940
